1;Dans quel pays se situe le circuit de course automobile du Mans ?;En France;En Suisse;Aux Pays-Bas;En Belgique;En France
2;A quel modele de voiture ressemble le vieux tacot jaune et delabre que conduit Gaston Lagaffe ?;Fiat 509;Citroen B10;Rolls-Royce;Jeep;Fiat 509
3;Quel sport automobile consiste a accelerer le plus rapidement possible avec son vehicule ?;Le dragster;Le drift;Le trial;Le monster truck;Le dragster
4;Comment s'appelle le vehicule du personnage de bande dessinee Batman ?;La Batmobile;La Batauto;La Batdrive;La Batcar;La Batmobile
5;De quand date le Duster, vehicule utilitaire sport vendu par la marque roumaine Dacia ?;2010;2012;2008;2006;2010
6;En France, refuser une priorite peut vous couter combien de points sur le permis ?;4 points;2 points;6 points;8 points;4 points
7;Quelle principaute accueille l'un des plus prestigieux Grand Prix de Formule 1 ?;Monaco;Liechtenstein;Andorre;Montoue;Monaco
8;Quel principal organisme regit les courses automobiles de stock-car aux Etats-Unis ?;NASCAR;GOCAR;LASCAR;GASPAR;NASCAR
9;Dans le monde automobile, quel sigle correspond au Grand Tourisme Injection ?;GTi;Turbo;TT;Sport;GTi
10;Quelle societe appartenant au groupe Belron " repare et remplace " votre pare-brise ?;Carglass;Norauto;Midas;Speedy;Carglass
11;Dans le jargon automobile courant, " avoir une chaussette trouee " signifie avoir...;Un pneu creve;Un vitre cassee;Une vidange a  faire;Un moteur qui fuit;Un pneu creve
12;De quand date le premier radar fixe en France, parmi les 4 200 aujourd'hui installes ?;27-oct-03;27-oct-13;27-oct-83;27-oct-93;27-oct-03
13;Quelle firme automobile, filiale francaise de FIAT, a ensuite integre le groupe Chrysler ?;Simca;Packard;Hommell;Triumph;Simca
14;En quelle annee a ete commercialise pour la premiere fois le coupe Audi TT ?;1998;1988;2008;1978;1998
15;Dans quel pays se situe le circuit automobile de Silvertsone, situe sur une ancienne base aerienne ?;Royaume-Uni;Etats-Unis;Australie;Portugal;Royaume-Uni
16;Quelle partie de votre voiture est parfois appelee " le dentier " ?;La boite de vitesse;La calandre;Le radiateur;Le coffre;La boite de vitesse
17;Quel constructeur automobile est le recordman des titres au 24 Heures du Mans ?;Porsche;Audi;Peugeot;BMW;Porsche
18;Parmi ces quatre verbes, lequel peut etre associe a  l'expression " mettre le pied dans le phare " ?;Accelerer;Freiner;Braquer;Klaxonner;Accelerer
19;Que signifie le sigle " Z.E. " chez le constructeur automobile francais Renault ?;Zero Emission;Zero Engagement;Zero Echo;Zero Espoir;Zero Emission
20;Quelle marque automobile a pour slogan publicitaire " Le plaisir de conduire " ?;BMW;Mercedes-Benz;Kia;Renault;BMW
21;Quelle voiture jaune Tintin conduit-il dans Tintin au Congo, deuxieme album de la serie ?;Ford T;Corvette;Jeep;Citroen Traction;Ford T
22;Quelle marque automobile aujourd'hui disparue reste surtout connue pour ses roadsters ?;Triumph;DeLorean;Innocenti;Hotchkiss;Triumph
23;Quel constructeur automobile fonde en 1906 a realise la Firebird, la GTO et la LeMans ?;Pontiac;AMC;Mercury;Oldsmobile;Pontiac
24;En France, quelle somme maximale peut vous couter l'utilisation abusive d'un avertisseur sonore ?;35 euros;55 euros;75 euros;95 euros;35 euros
25;Dans quelle voiture Tintin est-il conduit au pied de la fusee dans l'album Objectif Lune ?;Une Jeep;Un Hummer H1;Une Rover Mini;Une Ford T;Une Jeep
26;Quel pilote de rallye francais est devenu champion du monde des rallyes (WRC) en 2013 ?;Sebastien Ogier;Sebastien Loeb;Sebastien Bourdais;Sebastien Rousseaux;Sebastien Ogier
27;A quel groupe appartient le slogan : " Vous ne viendrez plus chez nous par hasard " ?;Total;Elf;Shell;Esso;Total
28;A quelle couleur de voiture le personnage de bande dessinee Ric Hochet est-il fidele ?;Le jaune;Le rouge;Le bleu;Le vert;Le jaune
29;Quelle entreprise etait reputee pour ses voitures de luxe equipees de V8 d'origine Chrysler ?;Facel-Vega;Delahaye;Matra;Delage;Facel-Vega
30;Akio Toyoda est le PDG de quelle grande marque automobile ?;Toyota;Hyundai;Suzuki;Yamaha;Toyota
